Feature,Mean |SHAP|
binary__device_trusted,1.0002062055103254
numeric__hour,0.5421045551871827
binary__is_new_receiver,0.5068903707628056
numeric__day_of_week,0.44855176431493426
numeric__sender_txn_count_24h,0.31623447782244773
numeric__velocity_score,0.31394179630394164
numeric__sender_avg_amount_30d,0.2463381020300341
numeric__amount,0.231852470843361
binary__high_risk_country,0.23164519832692032
categorical__merchant_category_FOOD,0.21093910731655702
categorical__payment_method_CARD,0.2088442137449275
numeric__receiver_account_age_days,0.1662480041007762
categorical__payment_method_UPI,0.16467764544794236
categorical__device_type_ANDROID,0.16314656751588422
binary__is_weekend,0.1589643496957731
categorical__device_type_LINUX,0.14560922641389148
categorical__merchant_category_TRAVEL,0.14437196493548868
categorical__payment_method_BANK_TRANSFER,0.1321376026021321
categorical__merchant_category_HEALTHCARE,0.1244614112507219
categorical__merchant_category_UTILITIES,0.12057731974450285
categorical__device_type_WEB,0.11934713059591369
numeric__receiver_txn_count_24h,0.11259933280040041
categorical__device_type_IOS,0.10490765211357117
categorical__device_type_MACOS,0.09714185104543259
categorical__merchant_category_SHOPPING,0.09657806978573243
categorical__currency_INR,0.08212845032701656
categorical__device_type_WINDOWS,0.07774494028749399
numeric__sender_account_age_days,0.07596981267003775
numeric__receiver_avg_amount_30d,0.06963718626375562
categorical__merchant_category_ENTERTAINMENT,0.06812866047723264
categorical__merchant_category_ELECTRONICS,0.06805668323505422
categorical__merchant_category_OTHER,0.040585133205354104
categorical__payment_method_WALLET,0.04051100917312473
country__destination_country,0.03946847796057555
categorical__merchant_category_EDUCATION,0.03721158139061164
categorical__merchant_category_FUEL,0.019710277014522767
binary__cross_border,0.01952966432279696
categorical__currency_GBP,0.01871228398223304
categorical__currency_USD,0.015507544722587318
country__origin_country,0.006438718516000862
categorical__currency_EUR,0.0032686211652462227
