iter	Passed	Remaining
0	92	27651
1	107	16078
2	130	12876
3	147	10918
4	163	9660
5	178	8751
6	193	8106
7	209	7639
8	225	7294
9	241	7012
10	257	6774
11	273	6574
12	291	6437
13	311	6368
14	341	6480
15	435	7738
16	485	8086
17	519	8145
18	559	8280
19	604	8462
20	655	8702
21	694	8780
22	732	8816
23	773	8895
24	830	9140
25	893	9420
26	928	9389
27	977	9492
28	1050	9819
29	1093	9844
30	1151	9989
31	1207	10114
32	1290	10444
33	1323	10354
34	1359	10291
35	1407	10325
36	1457	10358
37	1490	10275
38	1516	10146
39	1546	10055
40	1572	9934
41	1599	9827
42	1625	9714
43	1655	9631
44	1689	9572
45	1723	9516
46	1747	9405
47	1767	9280
48	1794	9192
49	1818	9092
50	1840	8987
51	1866	8903
52	1893	8823
53	1918	8737
54	1943	8656
55	1974	8605
56	1998	8519
57	2018	8423
58	2039	8329
59	2060	8242
60	2082	8159
61	2105	8082
62	2128	8008
63	2154	7943
64	2180	7883
65	2204	7815
66	2229	7752
67	2258	7706
68	2282	7640
69	2304	7572
70	2326	7502
71	2349	7439
72	2371	7375
73	2392	7307
74	2418	7255
75	2440	7193
76	2465	7141
77	2487	7081
78	2512	7027
79	2539	6983
80	2559	6920
81	2579	6858
82	2603	6806
83	2626	6752
84	2650	6703
85	2674	6655
86	2698	6607
87	2725	6564
88	2750	6520
89	2773	6470
90	2792	6414
91	2813	6362
92	2834	6310
93	2855	6258
94	2879	6212
95	2904	6172
96	2928	6129
97	2956	6094
98	2978	6046
99	3000	6001
100	3021	5953
101	3044	5910
102	3070	5872
103	3097	5836
104	3121	5796
105	3148	5762
106	3173	5723
107	3207	5702
108	3230	5660
109	3256	5624
110	3278	5583
111	3302	5543
112	3326	5504
113	3353	5470
114	3377	5432
115	3403	5398
116	3440	5380
117	3463	5342
118	3485	5301
119	3507	5261
120	3529	5221
121	3553	5184
122	3578	5149
123	3603	5114
124	3632	5084
125	3656	5049
126	3686	5021
127	3709	4984
128	3733	4948
129	3777	4939
130	3810	4915
131	3837	4884
132	3858	4845
133	3881	4809
134	3908	4776
135	3943	4755
136	3967	4720
137	3999	4694
138	4025	4662
139	4047	4625
140	4071	4591
141	4094	4555
142	4121	4525
143	4156	4502
144	4183	4472
145	4215	4446
146	4243	4416
147	4267	4382
148	4290	4347
149	4315	4315
150	4343	4286
151	4368	4253
152	4395	4222
153	4424	4194
154	4451	4164
155	4478	4134
156	4505	4103
157	4529	4071
158	4556	4040
159	4588	4014
160	4624	3992
161	4655	3965
162	4691	3943
163	4726	3919
164	4796	3924
165	4854	3918
166	4896	3899
167	4924	3869
168	4964	3848
169	4988	3815
170	5014	3783
171	5038	3749
172	5065	3718
173	5092	3687
174	5122	3658
175	5150	3629
176	5179	3599
177	5206	3568
178	5230	3535
179	5256	3504
180	5282	3472
181	5307	3440
182	5330	3408
183	5357	3377
184	5387	3349
185	5412	3317
186	5435	3284
187	5456	3250
188	5477	3217
189	5503	3186
190	5526	3153
191	5548	3121
192	5574	3090
193	5601	3060
194	5627	3030
195	5653	2999
196	5675	2967
197	5696	2934
198	5720	2903
199	5743	2871
200	5767	2840
201	5790	2809
202	5816	2779
203	5844	2750
204	5872	2721
205	5894	2689
206	5918	2658
207	5941	2627
208	5963	2596
209	5986	2565
210	6007	2534
211	6031	2503
212	6057	2474
213	6077	2442
214	6104	2413
215	6127	2383
216	6150	2352
217	6176	2323
218	6199	2292
219	6225	2263
220	6250	2234
221	6272	2203
222	6295	2173
223	6322	2145
224	6347	2115
225	6372	2086
226	6396	2057
227	6419	2027
228	6443	1997
229	6470	1969
230	6496	1940
231	6519	1910
232	6544	1881
233	6570	1853
234	6594	1824
235	6618	1794
236	6643	1766
237	6672	1738
238	6697	1709
239	6720	1680
240	6740	1650
241	6766	1621
242	6789	1592
243	6813	1563
244	6836	1534
245	6865	1507
246	6891	1478
247	6917	1450
248	6941	1421
249	6962	1392
250	6985	1363
251	7006	1334
252	7029	1305
253	7056	1277
254	7081	1249
255	7106	1221
256	7133	1193
257	7160	1165
258	7185	1137
259	7213	1109
260	7235	1081
261	7256	1052
262	7275	1023
263	7296	994
264	7321	967
265	7349	939
266	7375	911
267	7429	887
268	7458	859
269	7486	831
270	7508	803
271	7533	775
272	7557	747
273	7584	719
274	7608	691
275	7631	663
276	7657	635
277	7683	608
278	7707	580
279	7730	552
280	7751	524
281	7774	496
282	7799	468
283	7824	440
284	7847	413
285	7873	385
286	7906	358
287	7934	330
288	7958	302
289	7980	275
290	8000	247
291	8021	219
292	8045	192
293	8067	164
294	8093	137
295	8118	109
296	8144	82
297	8169	54
298	8190	27
299	8210	0
